PortName,Country,Latitude,Longitude,Region,Sub Region,country_id,created_by
Tanjung Pelepas,Malaysia,103.55,1.366666667,Asia,South-eastern Asia,132,1
Tawau Sabah ,Malaysia,117.89115,4.24482,Asia,South-eastern Asia,132,1
Male,Maldives,73.5,4.166666667,Asia,Southern Asia,133,1
Marsaxlokk,Malta,14.53333333,35.83333333,Europe,Southern Europe,135,1
Kwajalein,Marshall Islands,167.73919,8.77479,Oceania,Micronesia,137,1
Majuro,Marshall Islands,171.3833333,7.1,Oceania,Micronesia,137,1
Fort-de-France,Martinique,-61.07418,14.60365,Americas,Latin America and the Caribbean,138,1
Nouadhibou,Mauritania,-17.03842,20.94188,Africa,Sub-Saharan Africa,139,1
Nouakchott,Mauritania,-15.9785,18.08581,Africa,Sub-Saharan Africa,139,1
Port Louis,Mauritius,57.49889,-20.16194,Africa,Sub-Saharan Africa,140,1
Port Mathurin,Mauritius,63.41666667,-19.68333333,Africa,Sub-Saharan Africa,140,1
Longoni,Mayotte,45.16666667,-12.71666667,Africa,Sub-Saharan Africa,141,1
Altamira,Mexico,-97.91666667,22.4,Americas,Latin America and the Caribbean,142,1
Coatzacoalcos,Mexico,-94.4,18.13333333,Americas,Latin America and the Caribbean,142,1
Ensenada,Mexico,-116.6,31.85,Americas,Latin America and the Caribbean,142,1
Guaymas,Mexico,-110.8833333,27.91666667,Americas,Latin America and the Caribbean,142,1
Lazaro Cardenas,Mexico,-102.1833333,17.95,Americas,Latin America and the Caribbean,142,1
Manzanillo,Mexico,-104.3,19.05,Americas,Latin America and the Caribbean,142,1
Mazatlan,Mexico,-106.4,23.4,Americas,Latin America and the Caribbean,142,1
Paraiso,Mexico,-92.2,18.18333333,Americas,Latin America and the Caribbean,142,1
Puerto Madero,Mexico,-92.41666667,14.71666667,Americas,Latin America and the Caribbean,142,1
Puerto Morelos,Mexico,-86.86666667,20.83333333,Americas,Latin America and the Caribbean,142,1
Tampico,Mexico,-97.86666667,22.25,Americas,Latin America and the Caribbean,142,1
Tuxpan,Mexico,-97.4,20.95,Americas,Latin America and the Caribbean,142,1
